"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.158024991480569,-0.0590298347104577,3.06541846718814,-0.0192566970357573,0.984636328276078,NA
"Q0050",0.44481074688208,0.122549886681717,1.93902560534121,0.0632017887459263,0.94960582041605,0.971734023006291
"Q0055",0.0750525647747641,0.671886301116372,3.5338115409304,0.190130767680801,0.849206660687331,NA
"Q0060",0,NA,NA,NA,NA,NA
"Q0065",0,NA,NA,NA,NA,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.0756580883261497,0.671886301116372,3.5338115409304,0.190130767680801,0.849206660687331,NA
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.0750525647747641,0.671886301116372,3.5338115409304,0.190130767680801,0.849206660687331,NA
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.0756580883261497,0.671886301116372,3.5338115409304,0.190130767680801,0.849206660687331,NA
"Q0130",0.151102414211432,-0.0462435255259858,3.11303237601163,-0.0148548167639786,0.988148006939891,NA
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0,NA,NA,NA,NA,NA
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",0.158393335705516,-0.05461738187071,3.06240710784171,-0.017834788108627,0.985770652271299,NA
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",0.0756580883261497,0.671886301116372,3.5338115409304,0.190130767680801,0.849206660687331,NA
"Q0297",0,NA,NA,NA,NA,NA
"YAL001C",70.975422649543,-0.454602916429136,0.183292766292851,-2.48020107734534,0.0131308310973769,0.0383804916451856
"YAL002W",62.9734726297857,-0.158155709928312,0.180257781786603,-0.877386309543869,0.380276846672897,0.532943964678798
"YAL003W",1052.80342496828,1.27220900591442,0.0442591619914987,28.7445344346734,1.0600607883721e-181,7.97821940962906e-180
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",1809.21317871547,1.8146406508032,0.0356378598095046,50.9189008684308,0,0
"YAL007C",124.278292319411,-0.13934245469786,0.132048704421931,-1.05523530357877,0.291317721746098,0.443358362272227
"YAL008W",60.3123361333247,-0.103358121047773,0.184345006052477,-0.560677629739266,0.575017319881851,0.710289077040457
"YAL009W",41.6196386739698,-0.610603726647305,0.240999897917404,-2.53362649496462,0.0112888987444798,0.0339042365143
"YAL010C",43.1737345388275,-0.373018548308101,0.216711802068832,-1.72126549983477,0.0852026569024211,0.176491217869301
"YAL011W",50.9250218122238,-0.655326976926294,0.202860589006791,-3.23043021877629,0.0012360407270487,0.00494259928931175
"YAL012W",795.062317721224,0.604867385236718,0.0514038436333228,11.7669680413666,5.77634223133345e-32,1.06157080193285e-30
